LanguageHaveWorkedWith,ConvertedCompYearly,YearsCode,ResponseId,,,ExperienceGroup,N Python,N JS/Java,Mean Python,Mean JS/Java,MeanDiff J minus Py,%Diff J vs Py,T Stat Welch,P Value Two Tailed
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;Ruby;SQL;TypeScript;VBA;Visual Basic (.Net),93000,22,17686,,,,,,,,,,,
Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;PowerShell;Python;Ruby;SQL;TypeScript,300000,11,17724,,,,,,,,,,,
Bash/Shell (all shells);C#;C++;Java;Perl;PowerShell,250000,18,17741,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Fortran;HTML/CSS;JavaScript;Python;SQL;TypeScript,400000,14,17743,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;MicroPython;PowerShell;Python;TypeScript,150000,20,17749,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Java;JavaScript;PowerShell;Python;Ruby,265000,25,17765,,,,,,,,,,,
C++;JavaScript;Python;TypeScript,190000,24,17783,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Python;Swift;TypeScript,100000,15,17785,,,,,,,,,,,
Go;HTML/CSS;JavaScript;Python;TypeScript,190000,17,17789,,,,,,,,,,,
C#;JavaScript;Python;Ruby;SQL;TypeScript,143000,25,17798,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;C#;Go;HTML/CSS;Java;JavaScript;Lua;Python;R;Ruby;SQL;TypeScript,150000,19,17810,,,,,,,,,,,
C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript;Visual Basic (.Net),130000,29,17816,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,140000,15,17817,,,,,,,,,,,
Bash/Shell (all shells);C#;GDScript;Go;HTML/CSS;Java;JavaScript;Lua;Python;Ruby;SQL,250000,25,17820,,,,,,,,,,,
C#;Dart;Java;JavaScript;PowerShell;SQL;TypeScript,160000,15,17846,,,,,,,,,,,
Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,137000,8,17877,,,,,,,,,,,
C#;Go;HTML/CSS;Java;JavaScript;MicroPython;PHP;Python;Rust;TypeScript,180000,15,17878,,,,,,,,,,,
Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;SQL,225000,20,17891,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;PHP;Python;SQL;TypeScript,50000,29,17896,,,,,,,,,,,
C#;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;Swift;TypeScript,140000,10,17932,,,,,,,,,,,
C;C++;Dart;GDScript;HTML/CSS;Java;JavaScript;PHP;Python;SQL,106000,17,17933,,,,,,,,,,,
C#;JavaScript;PowerShell;Python;SQL;TypeScript,150000,12,17943,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,145000,13,17964,,,,,,,,,,,
Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,191000,18,17998,,,,,,,,,,,
Java;JavaScript;Kotlin;PowerShell;Rust;Scala;TypeScript,120000,12,18002,,,,,,,,,,,
C;C#;C++;HTML/CSS;Java;PHP;PowerShell;Python;SQL,160000,7,18006,,,,,,,,,,,
HTML/CSS;JavaScript,172000,16,18009,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Go;JavaScript;TypeScript,201000,28,18051,,,,,,,,,,,
HTML/CSS;JavaScript;Ruby;TypeScript,158000,25,18052,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,140000,11,18065,,,,,,,,,,,
JavaScript;PHP;PowerShell;SQL;TypeScript,70000,6,18074,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,125000,15,18088,,,,,,,,,,,
Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;SQL;TypeScript,185000,20,18110,,,,,,,,,,,
C#;C++;JavaScript;PowerShell;R,120000,10,18115,,,,,,,,,,,
C#;C++;HTML/CSS;JavaScript;MATLAB;PHP;PowerShell;Python;SQL,95000,26,18122,,,,,,,,,,,
C#;Java;JavaScript;SQL,161000,20,18137,,,,,,,,,,,
Bash/Shell (all shells);C#;GDScript;HTML/CSS;JavaScript;Ruby;TypeScript,132000,17,18147,,,,,,,,,,,
C#;HTML/CSS;JavaScript;Python;SQL,170000,20,18156,,,,,,,,,,,
Bash/Shell (all shells);GDScript;HTML/CSS;JavaScript;PHP;PowerShell;Ruby;Rust;SQL,60000,25,18192,,,,,,,,,,,
C#;JavaScript;SQL,129000,16,18197,,,,,,,,,,,
Go;HTML/CSS;Java;JavaScript;Python;TypeScript,250000,17,18208,,,,,,,,,,,
HTML/CSS;JavaScript;PowerShell;Ruby;TypeScript,120000,6,18238,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Python,151053,27,18246,,,,,,,,,,,
C++;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,202225,9,18247,,,,,,,,,,,
C#;HTML/CSS;JavaScript;SQL,65000,2,18252,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Elixir;Erlang;Go;HTML/CSS;JavaScript;Lua;Perl;PowerShell;Python;SQL;TypeScript,165000,27,18264,,,,,,,,,,,
C#;Elixir;Go;HTML/CSS;Java;Lisp;Lua;Python;Rust;SQL;TypeScript,112000,8,18268,,,,,,,,,,,
HTML/CSS;JavaScript;SQL,169000,22,18271,,,,,,,,,,,
Bash/Shell (all shells);C;C#;C++;GDScript;HTML/CSS;JavaScript;Lua;PowerShell;Python;Rust,177000,12,18276,,,,,,,,,,,
C;Java;JavaScript;Kotlin;Python;TypeScript,71000,9,18277,,,,,,,,,,,
Bash/Shell (all shells);C#;JavaScript;Python;SQL;Visual Basic (.Net),95000,8,18290,,,,,,,,,,,
Bash/Shell (all shells);C;Go;Java;Kotlin;Python;Ruby;SQL,330000,30,18309,,,,,,,,,,,
Bash/Shell (all shells);C#;Dart;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,110000,30,18311,,,,,,,,,,,
Go;Java;JavaScript;Python;R;Ruby;SQL,225000,27,18312,,,,,,,,,,,
C#;Java;JavaScript;TypeScript,180000,25,18314,,,,,,,,,,,
HTML/CSS;JavaScript;Python;TypeScript,220000,20,18318,,,,,,,,,,,
Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;SQL;TypeScript,162000,27,18342,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,165000,25,18370,,,,,,,,,,,
C#;HTML/CSS;JavaScript;SQL,74900,10,18382,,,,,,,,,,,
Bash/Shell (all shells);C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;Kotlin;Ruby;Rust;SQL;Swift,75000,5,18387,,,,,,,,,,,
Bash/Shell (all shells);JavaScript;Lisp;SQL,500000,30,18411,,,,,,,,,,,
Bash/Shell (all shells);C;Groovy;HTML/CSS;Java;JavaScript;Rust;SQL,146000,13,18429,,,,,,,,,,,
HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,138000,6,18432,,,,,,,,,,,
HTML/CSS;JavaScript;Python;SQL;Swift,90000,8,18449,,,,,,,,,,,
C#;HTML/CSS;JavaScript;TypeScript,450000,20,18464,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;Scala;SQL;TypeScript,400000,17,18466,,,,,,,,,,,
C#;HTML/CSS;JavaScript;Kotlin;PHP;Ruby;SQL;Swift;TypeScript,104000,17,18477,,,,,,,,,,,
Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,143000,14,18482,,,,,,,,,,,
JavaScript;Ruby;SQL,196000,14,18507,,,,,,,,,,,
Bash/Shell (all shells);C#;JavaScript;PowerShell;SQL;TypeScript;VBA,125000,28,18524,,,,,,,,,,,
Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;PowerShell;Python,240000,30,18531,,,,,,,,,,,
HTML/CSS;JavaScript;Ruby;SQL;TypeScript,128125,5,18536,,,,,,,,,,,
C#;JavaScript;PowerShell;Python;SQL;TypeScript,275000,20,18546,,,,,,,,,,,
JavaScript;Ruby;SQL;TypeScript,210000,15,18558,,,,,,,,,,,
Groovy;Java;JavaScript;PowerShell;Python;SQL,160000,13,18590,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Java;Kotlin;Python;SQL,500000,15,18627,,,,,,,,,,,
JavaScript;PHP;SQL;TypeScript,160000,30,18630,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,173500,20,18642,,,,,,,,,,,
HTML/CSS;JavaScript;Perl;PHP;Python;SQL,250000,30,18643,,,,,,,,,,,
Bash/Shell (all shells);Groovy;HTML/CSS;JavaScript;Ruby,195000,30,18666,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell;SQL,72500,18,18683,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,150000,8,18733,,,,,,,,,,,
C#;HTML/CSS;JavaScript;TypeScript,200000,10,18756,,,,,,,,,,,
C#;GDScript;HTML/CSS;JavaScript;Lua;Python;Ruby;TypeScript,155195,10,18763,,,,,,,,,,,
C#;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,200000,23,18783,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;SQL,97250,10,18793,,,,,,,,,,,
Bash/Shell (all shells);Go;JavaScript;Python;Ruby;Rust;TypeScript,400000,18,18809,,,,,,,,,,,
Bash/Shell (all shells);Java;PowerShell;Python;SQL;TypeScript,200000,22,18815,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;R;Rust;SQL;TypeScript,234000,25,18819,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript,280000,9,18821,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;PHP;Python;SQL;TypeScript,150000,16,18834,,,,,,,,,,,
Bash/Shell (all shells);C;HTML/CSS;JavaScript;PHP;SQL,120000,10,18845,,,,,,,,,,,
Bash/Shell (all shells);C++;Go;HTML/CSS;Java;JavaScript;Python;TypeScript,48000,11,18848,,,,,,,,,,,
C#;C++;GDScript;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,150000,28,18862,,,,,,,,,,,
HTML/CSS;JavaScript;Python;Ruby;SQL,205000,10,18875,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;Visual Basic (.Net),60000,11,18880,,,,,,,,,,,
C#;JavaScript;PowerShell;Python;SQL;Visual Basic (.Net),112000,13,18889,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,121000,10,18890,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,95000,9,18907,,,,,,,,,,,
Bash/Shell (all shells);JavaScript;SQL,118000,8,18911,,,,,,,,,,,
C#;HTML/CSS;JavaScript;SQL;TypeScript,180000,10,18916,,,,,,,,,,,
Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;SQL;TypeScript,143356,11,18926,,,,,,,,,,,
Bash/Shell (all shells);JavaScript;Python;Ruby,163000,24,18935,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,190000,30,18950,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,83000,7,18960,,,,,,,,,,,
Bash/Shell (all shells);C#;Erlang;Groovy;Java;JavaScript;PowerShell;Python;SQL;TypeScript,415000,22,18984,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;Ruby;SQL;TypeScript,130000,5,18994,,,,,,,,,,,
C#;HTML/CSS;JavaScript;SQL;TypeScript,159500,22,18996,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;PowerShell;Python;R;Rust;SQL;VBA,103520,30,19001,,,,,,,,,,,
Bash/Shell (all shells);Java;Python;Scala;SQL,400000,14,19012,,,,,,,,,,,
Bash/Shell (all shells);C#;Elixir;Go;Java;JavaScript;Python;TypeScript,210000,13,19030,,,,,,,,,,,
Bash/Shell (all shells);COBOL;Go;Groovy;HTML/CSS;Java;JavaScript;MATLAB;Perl;PHP;PowerShell;Python;R;Ruby;SQL;TypeScript;VBA;Visual Basic (.Net),235000,18,19034,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,170000,17,19047,,,,,,,,,,,
Bash/Shell (all shells);C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL,81000,7,19050,,,,,,,,,,,
Go;HTML/CSS;JavaScript;Python;Ruby;Rust;TypeScript,279000,28,19051,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;PowerShell;Python;TypeScript,150000,16,19052,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,115000,14,19053,,,,,,,,,,,
Bash/Shell (all shells);JavaScript;SQL;TypeScript,160000,16,19059,,,,,,,,,,,
Bash/Shell (all shells);Go;Java;Kotlin,260000,27,19101,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;Ruby,250000,25,19103,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Ruby;Rust;SQL;TypeScript,250000,10,19127,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,400000,10,19136,,,,,,,,,,,
C++;Java;JavaScript;PowerShell;Python;Ruby;Rust;Swift;TypeScript,200000,15,19148,,,,,,,,,,,
Bash/Shell (all shells);Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lua;Python;Rust;Scala;TypeScript,174000,16,19151,,,,,,,,,,,
Bash/Shell (all shells);Groovy;Java;Kotlin;SQL,145144,15,19154,,,,,,,,,,,
Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;TypeScript,225000,12,19162,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL,285000,18,19190,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell;Ruby;TypeScript,140000,14,19195,,,,,,,,,,,
Groovy;Java;Python;SQL,200000,22,19216,,,,,,,,,,,
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Rust;SQL;TypeScript,156000,17,19237,,,,,,,,,,,
Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;Lua;MicroPython;Python,75000,12,19238,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,208000,28,19241,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;SQL;TypeScript;VBA;Visual Basic (.Net),157000,30,19244,,,,,,,,,,,
C;C#;C++;JavaScript;SQL,165000,30,19256,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;TypeScript,108000,5,19265,,,,,,,,,,,
Bash/Shell (all shells);C++;Go;HTML/CSS;JavaScript;Python;SQL,185000,9,19266,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,92000,19,19283,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PHP;SQL;Visual Basic (.Net),94000,10,19292,,,,,,,,,,,
JavaScript,250000,15,19323,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;JavaScript;MATLAB;PHP;PowerShell;Python;Rust;TypeScript,176000,24,19326,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,101000,10,19338,,,,,,,,,,,
Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python,110000,10,19341,,,,,,,,,,,
Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,70000,17,19380,,,,,,,,,,,
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;MicroPython;PHP;Python;SQL;TypeScript,500000,17,19395,,,,,,,,,,,
C;C++;Dart;Go;HTML/CSS;Java;JavaScript;MATLAB;PowerShell;Python;R;SQL;Swift;TypeScript,260000,30,19417,,,,,,,,,,,
Bash/Shell (all shells);C;C#;C++;Go;Groovy;HTML/CSS;JavaScript;Python;SQL,180000,30,19424,,,,,,,,,,,
Go;JavaScript;Python;TypeScript,300000,30,19456,,,,,,,,,,,
Bash/Shell (all shells);C#;C++;Java;JavaScript;Python;SQL;TypeScript,220000,22,19460,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,400000,15,19463,,,,,,,,,,,
Ada;Assembly;Bash/Shell (all shells);C++;Go;HTML/CSS;JavaScript;PowerShell;Python;R;Ruby;Rust;SQL;TypeScript,225000,25,19517,,,,,,,,,,,
HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,250000,15,19569,,,,,,,,,,,
Bash/Shell (all shells);C#;C++;GDScript;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,100000,15,19598,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;Lisp;Python;Rust;SQL;TypeScript,110000,12,19791,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,130000,18,20194,,,,,,,,,,,
C#;C++;HTML/CSS;Java;JavaScript;PowerShell;Python;VBA;Visual Basic (.Net),85000,12,20226,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;PowerShell;Python;R;SQL,130000,20,20358,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript,90000,25,20401,,,,,,,,,,,
Bash/Shell (all shells);C#;Go;Groovy;HTML/CSS;Java;JavaScript;MicroPython;PowerShell;Python;Rust;SQL;TypeScript,125000,17,20402,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Lua;TypeScript,180000,30,20427,,,,,,,,,,,
C#;Go;Java;JavaScript;Perl;PowerShell;Python;SQL;TypeScript,203000,25,20456,,,,,,,,,,,
HTML/CSS;JavaScript;Python;SQL;TypeScript,101000,10,20463,,,,,,,,,,,
HTML/CSS;JavaScript;TypeScript,98000,11,20484,,,,,,,,,,,
Java;Kotlin;Python,440000,26,20486,,,,,,,,,,,
Bash/Shell (all shells);Java;JavaScript;Lisp;Lua;PHP;SQL;TypeScript,192000,20,20507,,,,,,,,,,,
Java;Lisp;Python;Scala,126000,8,20518,,,,,,,,,,,
HTML/CSS;Java;JavaScript;Kotlin;Lisp;TypeScript,150000,15,20540,,,,,,,,,,,
Bash/Shell (all shells);C;HTML/CSS;JavaScript;Python;SQL,75000,20,20583,,,,,,,,,,,
Bash/Shell (all shells);F#;Java;JavaScript;Kotlin;PowerShell;Python;SQL;TypeScript,385000,18,20624,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,130000,20,20625,,,,,,,,,,,
C#;JavaScript;SQL;TypeScript,165000,27,20640,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Ruby;SQL;TypeScript,90000,11,20652,,,,,,,,,,,
Bash/Shell (all shells);C#;Dart;Go;HTML/CSS;JavaScript;Kotlin;PowerShell;SQL,180000,28,20663,,,,,,,,,,,
C#;Dart;Delphi;Elixir;Erlang;F#;GDScript;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lisp;OCaml;PowerShell;Python;R;Ruby;Scala;SQL;TypeScript;VBA;Visual Basic (.Net);Zig;Gleam,80000,9,20665,,,,,,,,,,,
HTML/CSS;JavaScript;Ruby,122500,6,20667,,,,,,,,,,,
C;HTML/CSS;JavaScript;Python;R;SQL,165000,9,20668,,,,,,,,,,,
C#;HTML/CSS;JavaScript;Python;SQL,160000,20,20671,,,,,,,,,,,
C#;GDScript;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),155000,30,20693,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;TypeScript,100000,13,20698,,,,,,,,,,,
C#;C++;JavaScript;PowerShell;Python;SQL;TypeScript,150000,15,20714,,,,,,,,,,,
Bash/Shell (all shells);Java;PowerShell,212000,30,20716,,,,,,,,,,,
Go;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,240000,12,20728,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,110000,15,20730,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),140000,20,20735,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,91000,30,20741,,,,,,,,,,,
C#;HTML/CSS;JavaScript;SQL;TypeScript,115000,15,20749,,,,,,,,,,,
Dart;Java;Kotlin;Python,300000,17,20753,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;TypeScript,200000,17,20795,,,,,,,,,,,
C#;HTML/CSS;JavaScript;Python;SQL,105000,25,20798,,,,,,,,,,,
Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;Ruby;SQL,350000,26,20808,,,,,,,,,,,
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,80000,9,20812,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,214000,12,20814,,,,,,,,,,,
Bash/Shell (all shells);C;C++;GDScript;HTML/CSS;JavaScript;Python;R;Rust,245700,10,20820,,,,,,,,,,,
Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Kotlin;SQL;Swift;TypeScript,105000,7,20833,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL,155000,18,20834,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;Perl;PHP;Python;TypeScript,131000,30,20844,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,110000,27,20849,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Kotlin;Ruby;SQL;TypeScript,195000,25,20853,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell;SQL,155000,25,20854,,,,,,,,,,,
C++;HTML/CSS;Java;JavaScript;SQL;TypeScript,450000,25,20861,,,,,,,,,,,
Bash/Shell (all shells);Groovy;Java;JavaScript;Python;SQL,180000,29,20863,,,,,,,,,,,
Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;MicroPython;PHP;Python,160000,17,20871,,,,,,,,,,,
Bash/Shell (all shells);C++;Go;JavaScript;Lua;PHP;Python;R;SQL;TypeScript,40000,7,20872,,,,,,,,,,,
Bash/Shell (all shells);C#;Go;JavaScript;PHP;Ruby;SQL;TypeScript,170000,23,20888,,,,,,,,,,,
C++;HTML/CSS;JavaScript;Python;SQL,150000,16,20893,,,,,,,,,,,
C#;Groovy;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,124000,28,20895,,,,,,,,,,,
Go;Java;JavaScript;Kotlin;Python;Rust;TypeScript,480000,26,20933,,,,,,,,,,,
Dart;Java;JavaScript;SQL;TypeScript,90000,15,20943,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Lisp;Python,125000,20,20946,,,,,,,,,,,
Go;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,80000,7,20965,,,,,,,,,,,
C#;HTML/CSS;JavaScript;SQL;Visual Basic (.Net),72000,5,20971,,,,,,,,,,,
Bash/Shell (all shells);C;Elixir;Go;HTML/CSS;JavaScript;Lisp;Lua;SQL;TypeScript,100000,4,20980,,,,,,,,,,,
HTML/CSS;JavaScript;Python;Rust;TypeScript,180000,12,20984,,,,,,,,,,,
Bash/Shell (all shells);C;Go;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,400000,20,20994,,,,,,,,,,,
C#;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,270000,8,20995,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,150000,6,21020,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,116000,27,21032,,,,,,,,,,,
JavaScript;PHP;Ruby;SQL,205000,20,21036,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C++;Java;Python,95000,10,21066,,,,,,,,,,,
Bash/Shell (all shells);C++;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript;VBA;Visual Basic (.Net),157000,10,21067,,,,,,,,,,,
Bash/Shell (all shells);Groovy;Java;Kotlin;Python;SQL,178000,12,21074,,,,,,,,,,,
Bash/Shell (all shells);C++;Go;Groovy;HTML/CSS;JavaScript;Python;R;Rust;SQL;TypeScript,210000,30,21096,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;Kotlin;PHP;SQL;Swift,148000,14,21107,,,,,,,,,,,
Bash/Shell (all shells);Go;JavaScript;SQL;TypeScript,121000,21,21109,,,,,,,,,,,
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Ruby;SQL;Swift,340000,28,21110,,,,,,,,,,,
GDScript;HTML/CSS;JavaScript;Kotlin;Python;Ruby;Swift;TypeScript,183000,21,21120,,,,,,,,,,,
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,185000,10,21126,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,150000,28,21135,,,,,,,,,,,
HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,220000,8,21138,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;HTML/CSS;JavaScript;Lisp;Python;R;Rust;SQL;TypeScript;Visual Basic (.Net),103000,18,21154,,,,,,,,,,,
Java;Kotlin;Python;SQL,300000,20,21165,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,80000,20,21169,,,,,,,,,,,
C#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,85000,20,21172,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;Python,130000,20,21192,,,,,,,,,,,
Bash/Shell (all shells);JavaScript;Kotlin;Python;Scala;SQL,290000,15,21206,,,,,,,,,,,
Bash/Shell (all shells);Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,193701,26,21208,,,,,,,,,,,
Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript,225000,26,21241,,,,,,,,,,,
Bash/Shell (all shells);Elixir;Java;JavaScript;Python;SQL,151000,17,21251,,,,,,,,,,,
Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;PowerShell;Python;Rust;Swift;TypeScript,125000,14,21255,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby,172000,10,21262,,,,,,,,,,,
